Study,Title,Study_nr,PMID,Country studied,Language,Patient Group,Study_type,"Adulteonatal,_pediatric,_pregnant",Study_Population,Total_number_of_patients,"Age [years], median [iqr] or mean (sd)",Male,Female,imaging_reported,pathologic_findings,Pneumonia,GGO,Bilateral_pneumonia,Unilateral_pneumonia,Consolidation,GGO_with_consolidation,Local_patchy_shadowing,Bilateral_patchy_shadowing,Nodular_lesions,Air_bronchogram,Pleural_effusion,Reticulation/thickened_interlobular_septa,Interstitial_abnormalities,Crazy_paving_pattern,Subpleural_opacities,Bilateral_pulmonary_infiltration,Bronchiectasis,Thickened_pleura,Stripe_,Thickened_intralobular_septa,Vascular_thickening_,Bulla,Peribronchial_thickening,Focal_consolidation,Pulmonary_edema,Venous_congestion,Atelectasis
"Zhang et al, 2020",CT image of novel coronavirus pneumonia: a case report,S108,32189175,China,English,COVID-19,Case Study,Adult,Adult,1,64,1,0,Yes,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
"Hu et al, 2020",CT imaging of two cases of one family cluster 2019 novel coronavirus (2019-nCoV) pneumonia: inconsistency between clinical symptoms amelioration and imaging sign progression,S41,32190575,China,English,COVID-19,Case Series,Adult,Adult,2,42.5 [40.25-44.75],1,1,Yes,2,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,
"Arentz et al, 2020",Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State.,S4,32191259,USA,English,COVID-19,Cohort Study,Adult,Adult,21,70 [43-92],11,10,Yes,20,20,10,11,9,4,,,,11,,6, ,,,,,,,,,,,5,4,2,1,1
"Yuan et al, 2020","Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China",S107,32191754,China,English,COVID-19,Cohort Study,Adult,Adult,27,60 [47–69],12,15,Yes,27,27,18,23,4,5,8,,,2,8,,,,,,,,,,,,,,,,,
"Gross et al, 2020","CT appearance of severe, laboratory-proven coronavirus disease 2019 (COVID-19) in a Caucasian patient in Berlin, Germany",S28,32193883,Germany,English,COVID-19,Case Study,Adult,Adult,1,61,1,0,Yes,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
"Ding et al, 2020","The clinical characteristics of pneumonia patients coinfected with 2019 novel coronavirus and influenza virus in Wuhan, China",S19,32196707,China,English,COVID-19,Case Series,Adult,Adult,5,49 [47-50],2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al, 2020",A case of COVID-19 and pneumonia returning from Macau in Taiwan: Clinical course and anti-SARS-CoV-2 IgG dynamic,S46,32198005,Vietnam,English,COVID-19,Case Study,Adult,Adult,1,46,0,1,No,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Wan et al, 2020",Clinical Features and Treatment of COVID-19 Patients in Northeast Chongqing,S84,32198776,China,English,COVID-19,Cohort Study,Adult,Adult,135,47 [ 36-55],72,63,Yes,135,135,,135,,,,,,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020",Gross examination of report of a COVID-19 death autopsy,S55,32198987,China,Chinese,COVID-19,Case Study,Adult,Adult,1,85,1,0,Yes,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,
"Zhao et al, 2020",The characteristics and clinical value of chest CT images of novel coronavirus pneumonia,S113,32199619,China,English,COVID-19,Cohort Study,Adult,Adult,80,44 (1.77),43,37,Yes,80,80, ,76,4,,,,,,,1,,,,, ,,,,,,,,,,,
"Qian et al, 2020",A COVID-19 Transmission within a family cluster by presymptomatic infectors in China.,S64_adult,32201889,China,English,COVID-19,Case Series,Adult,Adult,7,57.5 [44.5-59],3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guan et al, 2020",Imaging Features of Coronavirusdisease 2019 (COVID-19): Evaluationon Thin-Section CT,S32,32204990,China,English,COVID-19,Cohort Study,Adult,Adult,53,42 (1-86),25,28,Yes,47,47,47,37,10,30,,,,,36,,,,,,,,,27,,,,,,,,
"Ding et al, 2020",A cured patient with 2019-nCoV pneumonia,S20,32205073,China,English,COVID-19,Case Study,Adult,Adult,1,57,0,1,Yes,1,1,1,,,1,,,1,1,,,,,,1,,,,,,,,,,,,
"Hill et al, 2020",The index case of SARS-CoV-2 in Scotland: a case report,S37,32205138,Scotland,English,COVID-19,Case Study,Adult,Adult,1,51,1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gautret et al, 2020",Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,S27,32205204,France,English,COVID-19,Case Series,Adult,Adult,36,47 [24.5-61.5],15,21,No,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,
"Zhang et al, 2020","Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings. ",S111,32205284,China,English,COVID-19,Cohort Study,Adult,Adult,573,46.65 (13.83),295,278,Yes,573,573,,432,141,,,,,,,,,,,,,,,,,,,,,,,
"Guan et al, 2020",CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia,S31,32208010,China,English,COVID-19,Case Study,Adult,Adult,1,59,0,1,Yes,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
"Fang et al, 2020",Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients,S25,32209381,China,English,COVID-19,Cohort Study,Adult,Adult,32,41,16,16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deng et al, 2020","Clinical characteristics of fatal and recovered cases of coronavirus disease 2019 (COVID-19) in Wuhan, China: a retrospective study",S18,32209890,China,English,COVID-19,Cohort Study,Adult + pediatric,Adult,225,death group : 69[62-74]; survivor group : 40[33-57],124,101,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun et al, 2020",Epidemiological and Clinical Predictors of COVID-19,S77,32211755,Singapore,English,COVID-19,Cohort Study,Adult,Adult,54,42 [34-54],29,25,Yes,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shi et al, 2020","Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China",S69,32211816,China,English,COVID-19,Cohort Study,Adult,Adult,416,64 (range 21-90),205,211,Yes,416,416,68,311,105,,,,,,,,,,,,,,,,,,,,,,,
"Lian et al, 2020",Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan,S52_old,32211844,China,English,COVID-19,Cohort Study,Adult (<60years),Adult,652,41.15 (1.38) normal distributed,349,303,Yes,570,388,176,239,149,,,,,,,,,,,,,,,,,,,,,,,
"Lian et al, 2020",Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan,S52_young,32211844,China,English,COVID-19,Cohort Study,Adult (>60 years),Adult,136,68.28 (7.31) normal distributed,58,78,Yes,131,72,59,57,15,,,,,,,,,,,,,,,,,,,,,,,
Jin et al. 2020,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",S45_withGI,32213556,China,English,COVID-19,Cohort Study,Adult - No GI Symptoms,Adult,577,45.09 (14.45),294,283,Yes,513,351,162,217,134,,,,,,,,,,,,,,,,,,,,,,,
Jin et al. 2020,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",S45_noGI,32213556,China,English,COVID-19,Cohort Study,Adult - with GI Symptoms,Adult,74,46.14 (14.19),37,37,Yes,66,40,26,31,9,,,,,,,,,,,,,,,,,,,,,,,
"Li et al, 2020",CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19). ,S48,32215691,China,English,COVID-19,Cohort Study,Adult,Adult,78,44.6 (17.9),38,40,Yes,56,56,45,,,12,,,,,41,5,25,,,,,,,,,,,,,,,
Chen et al. 2020,Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study,S12,32217556,China,English,COVID-19,Cohort Study,Adult,Adult,274,62 [44-70],171,103,Yes,265,265,,,,,,,,,,,,,,,265,,,,,,,,,,,
"Chan et al, 2020",A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.,S6_pediatric,31986261,China,English,COVID-19,Case Series,Pediatric,Pediatric,1,10,1,0,Yes,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Zhang et al, 2020",2019-novel coronavirus infection in a three-month-old baby,S146,32043842,China,Chinese,COVID-19,Case Study,Neonatal,Pediatric,1,0.25,0,1,Yes,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020","Clinical and biochemical indexes from 2019-nCoV infected patients linked to viral loads and lung injury.""",S58_pediatric,32048163,China,English,COVID-19,Case Study,Pediatric,Pediatric,1,10,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Wei et al, 2020",Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China.,S142,32058570,China,English,COVID-19,Case Series,Neonatal,Pediatric,9,0.583 [0.33-0.75],2,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feng et al, 2020",Analysis of CT features of 15 children with 2019 novel coronavirus infection,S132,32061200,China,Chinese,COVID-19,Case Series,Pediatric,Pediatric,15,7 (range 4-14),5,10,Yes,7,,7,,,,,2,,,,,,,,,,,,,,,,,,,,
"Zeng et al,2020",First case of neonate infected with novel coronavirus pneumonia in China,S145,32065520,China,Chinese,COVID-19,Case Study,Neonatal,Pediatric,1,17 (days),1,0,Yes,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,
"Cai et al, 2020",First case of 2019 novel coronavirus infection in children in Shanghai,S127,32102141,China,Chinese,COVID-19,Case Study,Pediatric,Pediatric,1,7,1,0,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang et al,2020",Clinical analysis of 31 cases of 2019 novel coronavirus infection in children from six provinces (autonomous region) of northern China,S141,32118389,China,Chinese,COVID-19,Cohort Study,Pediatric,Pediatric,31,7.1 [0.6-17],15,16,Yes,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,
"Xia et al, 2020","Clinical and CT features in pediatric patients with COVID-19 infection:
Different points from adults.",S143,32134205,China,English,COVID-19,Cohort Study,Pediatric,Pediatric,20, 2  [range: 1 day to 14 years 7 months],13,7,Yes,16,16,12,10,6,10,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",First case of severe childhood novel coronavirus pneumonia in China,S128,32135586,China,Chinese,COVID-19,Case Study,Pediatric,Pediatric,1,1.1,1,0,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Tang et al, 2020","Detection of Novel Coronavirus by RT-PCR in Stool Specimen from Asymptomatic Child, China.",S139,32150527,China,English,COVID-19,Case Study,Pediatric,Pediatric,1,10,1,0,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020",A case report of neonatal COVID-19 infection in China.,S124_pediatric,32161941,China,English,COVID-19,Case Study,Neonatal,Pediatric,1,0,1,0,Yes,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020","Detection of Covid-19 in Children in Early January 2020 in Wuhan, China.",S135,32163697,China,English,COVID-19,Case Series,Pediatric,Pediatric,6,3 [3-3.75],2,4,Yes,4,4,1,4,,,,,3,,,,,,,,,,,,,,,,,,,
"Liu et al, 2020","Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children.""",S60_pediatric,32171865,China,English,COVID-19,Cohort Study,Pediatric,Pediatric,4,0,2,2,Yes,3,3,1,,,2,,,,,,1,,,,,,,,,,,,,,,,
"Cui et al, 2020","A 55-Day-Old Female Infant Infected With 2019 Novel Coronavirus Disease: Presenting With Pneumonia, Liver Injury, and Heart Damage",S129,32179908,China,English,COVID-19,Case Study,Neonatal,Pediatric,1,55 days,0,1,Yes,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Ji et al, 2020",Clinical features of pediatric patients with COVID-19: a report of two family cluster cases.,S133,32180140,China,English,COVID-19,Case Series,Pediatric,Pediatric,2,12.0 [ 10.5 - 13.5],2,0,Yes,0,0, ,,,,,,,,,,,,,, ,,,,,,,,,,,
"Lu et al, 2020",SARS-CoV-2 Infection in Children.,S136,32187458,China,English,COVID-19,Cohort Study,Pediatric,Pediatric,171,6.7 [2-9.8],104,67,Yes,111,111,56,,,,,32,21,,,,,2,,,,,,,,,,,,,,
"Sun et al, 2020",Clinical features of severe pediatric patients with coronavirus disease 2019 in Wuhan: a single center's observational study,S138,32193831,China,English,COVID-19,Case Series,Pediatric,Pediatric,8, 10.2 [5.04-13.54],6,2,Yes,8,8,6,6,2,,,2,6,,,,,,,,,,,,,,,,,,,
"Park et al, 2020",First Pediatric Case of Coronavirus Disease 2019 in Korea,S137,32193905,South Korea,English,COVID-19,Case Study,Pediatric,Pediatric,1,10,0,1,Yes,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
"Qian et al, 2020",A COVID-19 Transmission within a family cluster by presymptomatic infectors in China.,S64_pediatric,32201889,China,English,COVID-19,Case Study,Pediatric (asymptomatic),Pediatric,1,1.1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020",SARS-CoV-2 infection with gastrointestinal symptoms as the first manifestation in a neonate,S140,32204755,China,Chinese,COVID-19,Case Study,Neonatal,Pediatric,1,19 (days),1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhou et al, 2020",Clinical features and chest CT findings of coronavirus disease 2019 in infants and young children,S148,32204756,China,Chinese,COVID-19,Case Series,Pediatric,Pediatric,9,1 [range: 7months -3yrs],4,5,Yes,9,8,7,,,,,,,,,,,,,,,,,,,,1,,,,,
"Zheng et al, 2020","Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China",S147,32207032,China,English,COVID-19,Cohort Study,Pediatric,Pediatric,25,3 [2-9],14,11,Yes,17,16,,11,5,,,12,,,,,,,,,,,,,,,,,,,,
"Le et al, 2020",The first infant case of COVID-19 acquired from a secondary transmission in Vietnam.,S134,32213326,Vietnam,English,COVID-19,Case Study,Neonatal,Pediatric,1,0.25,0,1,Yes,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong et al. 2020,Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn,S121_pediatric,32215581,China,English,COVID-19 neg test,Case Study,Neonatal,Pediatric,1,0,0,1,Yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xu et al, 2020",Characteristics of pediatric SARS-CoV-2 infection and potential evidence for persistent fecal viral shedding,S144,PMCID: PMC7095102,China,English,COVID-19,Case Series,Pediatric,Pediatric,10,6.63 [2.17-13.4],6,4,Yes,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
"Fan et al, 2020",Anal swab findings in an infant with COVID-19,S131,DOI�: 10.1002/ped4.12186,China,English,COVID-19,Case Study,Neonatal,Pediatric,1,0.25,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dong et al. 2020,Epidemiological Characteristics of 2143 Pediatric Patients With 2019 Coronavirus Disease in China.pdf,S130,DOI: 10.1542/peds.2020-0702 ,China,English,COVID-19,Cohort Study,Pediatric,Pediatric,731,10 [2-13],420,311,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Pregnant women with new coronavirus infection: a clinical characteristics and placental pathological analysis of three cases,S118,32114744,China,Chinese,COVID-19,Case Series,Pregnant,Pregnant,3,29.6,0,3,Yes,3,3,3,,,,,,,,,,,,,,,1,,,,,,,,,,
"Wang et al, 2020",A case of 2019 Novel Coronavirus in a pregnant woman with preterm delivery.,S123,32119083,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,28,0,1,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records.,S120,32151335,China,English,COVID-19,Case Series,Pregnant,Pregnant,9,28 [26-33],0,9,Yes,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang et al, 2020",A case report of neonatal COVID-19 infection in China.,S124_pregnant,32161941,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,34,0,1,Yes,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
"Chen et al, 2020",Chest computed tomography images of early coronavirus disease (COVID-19).,S119,32162211,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,27,0,1,Yes,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,
"Liu et al, 2020","Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children.""",S60_pregnant,32171865,China,English,COVID-19,Cohort Study,Pregnant,Pregnant,16,30 [26-35],0,16,Yes,13,13,12,10,3,8,7,,,,,6,,,,,,,,,,,,,,,,
"Xia et al, 2020","Emergency Caesarean delivery in a patient with confirmed coronavirus
disease 2019 under spinal anaesthesia.",S126,32192711,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,27,0,1,Yes,1,1,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,
"Wen at al, 2020","A patient with SARS-CoV-2 infection during pregnancy in Qingdao, China.",S125,32198004,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,31,0,1,Yes,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,
"Liao et al, 2020",Chest CT Findings in a Pregnant Patient with 2019 Novel Coronavirus Disease,S122,32212578,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,25,0,1,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Dong et al. 2020,Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn,S121_pregnant,32215581,China,English,COVID-19,Case Study,Pregnant,Pregnant,1,29,0,1,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
